Name,Rarity,Set and Card Number,Price
"A Shattered, Colorless Realm",Common,CYAC-EN074,0.03
Adularia of the June Moon,Super Rare,CYAC-EN095,0.20
Albion the Sanctifire Dragon,Secret Rare,CYAC-EN035,9.02
Amazement Abomination Arlekino,Common,CYAC-EN023,0.06
Baromet the Sacred Sheep Shrub,Super Rare,CYAC-EN097,0.26
Beetrooper Cruel Saturnas,Super Rare,CYAC-EN037,0.22
"Brightest, Blazing, Branded King",Common,CYAC-EN070,0.06
Bunny Ear Enthusiast,Common,CYAC-EN032,0.03
Bystial Dis Pater,Ultra Rare,CYAC-EN041,16.73
Chaos Angel,Secret Rare,CYAC-EN044,61.26
Constellar Tellarknights,Super Rare,CYAC-EN064,0.17
Cyberse Desavewurm,Common,CYAC-EN034,0.13
Cyberse Sage,Common,CYAC-EN033,0.09
Cynet Circuit,Common,CYAC-EN069,0.08
Cynet Rollback,Super Rare,CYAC-EN051,0.14
Despian Luluwalilith,Secret Rare,CYAC-EN042,12.67
Despian Luluwalilith (Starlight Rare),Starlight Rare,CYAC-EN042,172.03
Dinomorphia Intact,Common,CYAC-EN076,0.18
Double Hooking,Common,CYAC-EN079,0.10
Dream Tower of Princess Nemleria,Common,CYAC-EN059,0.10
Dreaming Nemleria,Super Rare,CYAC-EN015,0.39
Dual Avatar - Manifested A-Un,Common,CYAC-EN038,0.05
Etude of the Branded,Common,CYAC-EN071,0.08
Fallen of Argyros,Common,CYAC-EN009,0.08
Firewall Defenser,Ultra Rare,CYAC-EN001,2.54
Firewall Dragon Singularity,Secret Rare,CYAC-EN047,2.30
Firewall Dragon Singularity (Starlight Rare),Starlight Rare,CYAC-EN047,64.43
Firewall Phantom,Common,CYAC-EN002,0.11
Full Active Duplex,Common,CYAC-EN025,0.08
Fusion Duplication,Common,CYAC-EN077,0.10
Gold Pride - Better Luck Next Time!,Secret Rare,CYAC-EN091,9.62
Gold Pride - Chariot Carrie,Ultra Rare,CYAC-EN088,0.95
Gold Pride - Chariot Carrie (Starlight Rare),Starlight Rare,CYAC-EN088,62.99
Gold Pride - It's Neck and Neck!,Common,CYAC-EN092,0.05
Gold Pride - Pedal to the Metal!,Common,CYAC-EN090,0.04
Gold Pride - Pin Baller,Ultra Rare,CYAC-EN087,0.44
Gold Pride - Roller Baller,Secret Rare,CYAC-EN086,4.41
Gold Pride - That Came Out of Nowhere!,Ultra Rare,CYAC-EN089,0.34
